180,65,34,3043,9,15,4,0,4.9,75.4,0.2,9,1.6,1,1.3,0,0.3,3.4,0.1,0,4.2,1.4,0.1,2.4,2.4,61.1,2.9,5,0.6,8.21
175,66,28,2534,14,11,3,0,2.1,83.1,0.3,6,1.3,0.4,0.8,0,0.1,3.6,0.1,0,2.2,1.3,0.2,2.5,2.6,31.8,0.2,0.3,0.2,7.85
173,72,1,90,0,0,0,0,0,85.7,6,0,2,1,2,0,2,2,0,0,3,2,0,1,0,77,0,2,0,7.66
171,66,27,2335,10,5,2,0,2.7,86.7,0.1,4,1.1,0.4,1.4,0,0.1,2.7,0.1,0,1.6,1.4,0.2,1.3,2.4,27.3,0.8,0.6,0.1,7.51
178,84,1,90,0,0,0,0,0,73.3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30,0,6,0,7.48
177,78,27,2350,10,3,6,0,1.9,87,1.9,2,2.1,1.3,0.9,0,1,1.1,0.2,0,1.4,1,0,1,1.2,56.1,0.9,1.7,0.1,7.45
183,74,33,2856,11,6,4,0,2.1,82.5,0.8,2,1.8,0.9,0.8,0,1.1,1.3,0.1,0,1.5,0.8,0.1,1.2,1,45.8,0.2,1.6,0.1,7.4
180,70,16,1560,0,7,2,0,0.5,91.4,1.1,0,1.7,1.1,0.5,0.3,1.1,2.5,0,0,1.5,1,0,0.7,0.6,62.2,0,2.9,0.1,7.3
168,67,9,849,1,2,0,0,2.3,78.6,0.3,0,1.4,0.5,0.9,0,0.2,3.2,0,0,1.3,1.5,0.5,1.8,1.9,26.2,0.3,0.8,0.1,7.28
171,65,15,1339,1,2,4,1,0.7,84.3,2.3,1,2.9,2.6,1.6,0.1,1.5,0.5,0.3,0,1,2.1,0,0.8,0.9,51.5,0.5,1.7,0,7.25
183,77,12,1080,2,1,2,0,0.4,86.3,1.8,0,1.3,1.1,1.2,1.1,3.4,0.7,1.1,0,1.1,0.3,0,0.6,0.7,69.8,0.2,1.6,0.1,7.25
186,83,24,2032,13,5,4,0,3.4,74.8,1.7,1,0.3,0.1,1.2,0,0.4,0.4,0.1,0,1,1.4,0.6,0.9,2,20.1,0.1,0.3,0.1,7.17
184,75,28,2485,1,1,6,1,0.8,85.4,2.2,1,2.8,1.8,1.3,0.5,2.7,0.1,0.4,0,0.7,1.6,0,0.2,0.3,55.4,0.5,2.4,0,7.17
188,89,33,2913,3,2,8,0,1,89.3,3.1,0,1,1.7,0.8,0.7,4.4,0.5,0.6,1,0.3,0.4,0.1,0.2,0.5,62.4,0,3.3,0,7.07
180,71,0,45,0,0,0,0,0,83.3,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,18,1,1,0,6.95
186,70,5,484,0,0,1,0,0.9,81.8,1.4,0,2.5,1.5,0.5,0.1,0.9,0.4,0,0,0.9,0.3,0,0.3,1.3,39.3,0.8,1,0,6.88
187,93,33,2970,0,0,3,0,0,73.1,0.2,0,0,0,0,0,0.9,0.1,0,0,0,0,0,0,0,25.8,0,5,0,6.88
183,62,3,291,0,0,0,0,0.9,85.3,0.6,1,1.6,1.4,0.5,0,0.8,1.5,0.3,0,0.8,0.1,0,0.4,0.3,23,0.3,0.5,0,6.84
189,82,16,1230,1,0,2,0,0.8,88.2,1.9,0,1.1,1.2,0.6,0.3,2.3,0.5,0.3,0,0.1,0.4,0.1,0.1,0.2,39.7,0.1,1.5,0,6.84
179,65,1,145,0,0,0,0,0,87.9,0.8,0,1,1,0.5,0.3,0.3,1,0,0,0.5,0,0,0.3,0.8,24.8,0.5,2.5,0,6.82
194,93,8,682,0,0,0,0,0.7,84.8,1,0,1.3,0.7,1.1,0.9,1.4,1.3,0.1,0,0.9,1.3,0.1,1,1.1,36.4,0.2,1.2,0,6.78
187,83,11,1143,6,0,0,0,2,78.1,0.5,0,0.3,0.1,0.6,0,0.3,0.5,0,0,0.7,0.7,0.2,1.2,1.6,11.5,0,0,0,6.69
179,65,2,157,0,2,0,0,1,88.4,0,0,0.5,0,0.3,0,0,0.5,0,0,2.3,0.5,0,0.8,1.3,21.5,0.3,0.5,0,6.64
179,76,1,142,0,0,1,0,0,82,0.5,0,1,0.5,0.5,0,0.5,0.3,0.3,0,1.8,0,0,0.5,1,25,0,1,0,6.49
185,82,4,556,4,1,0,1,0.8,75,0.5,0,0.5,0.2,0.4,0,0.2,0.2,0,0,0.6,0.2,0,0.2,0.5,9.1,0,0.2,0,6.45
184,77,0,70,1,0,0,0,1.5,85.7,0.3,0,0,0,0,0,0,0,0,0,0.5,0,0.3,0.3,0.5,5.3,0,0,0,6.37
177,76,2,164,0,0,2,0,0.2,85.7,1,0,1.8,1,0.8,0.2,1.4,0.4,0,0,0,0.2,0,0.6,0.4,18.2,0,0.8,0,6.34
183,75,0,5,0,0,0,0,0,16.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6.14
0,0,0,13,0,0,0,0,0,100,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,3.3,0,0.3,0,6.04
